"These Lake Michigan phytoplankton data are a portion of a much larger dataset from all of the Laurention Great Lakes, and from additional years."										
"These data are available from Euan Reavie: _Natural Resources Research Institute, University of Minnesota Duluth, 5013 Miller Trunk Hwy, Duluth, MN 55811; _e_mail ereavie@d.umn.edu"										
num	year	lake	Season	DIV	station	sampletype	celltally	cellsperml	biovol	biovolperind
37053	2007	MI	1	3	1	1	1	0.89	27.95	31.25
37028	2007	MI	1	4	1	1	5	4.47	68.59	15.34
37054	2007	MI	1	4	1	1	3	2.68	278.83	103.93
37014	2007	MI	1	5	1	1	1	0.89	1829.12	2045.31
37015	2007	MI	1	5	1	1	2	1.79	3475.33	1943.05
37016	2007	MI	1	5	1	1	1	0.89	2434.56	2722.31
37038	2007	MI	1	5	1	1	16	14.31	3143.25	219.67
37039	2007	MI	1	5	1	1	47	42.03	6128.65	145.81
37010	2007	MI	1	6	1	1	130	116.26	951.14	8.18
37029	2007	MI	1	6	1	1	55	49.19	65.36	1.33
37034	2007	MI	1	6	1	1	19	16.99	230	13.54
37035	2007	MI	1	6	1	1	155	138.62	2108.75	15.21
37055	2007	MI	1	6	1	1	3	2.68	2743.68	1022.66
37060	2007	MI	1	1	2	1	10	0.61	546.55	893.74
37061	2007	MI	1	1	2	1	7	0.43	189.12	441.79
37062	2007	MI	1	1	2	1	23	1.41	3480.8	2474.76
37063	2007	MI	1	1	2	1	4	0.25	2.31	9.45
37064	2007	MI	1	1	2	1	2	0.12	23.34	190.85
37065	2007	MI	1	1	2	1	1	0.06	207.78	3397.64
37066	2007	MI	1	1	2	1	7	0.43	148.47	346.85
37067	2007	MI	1	1	2	1	6	0.37	75.36	205.38
37068	2007	MI	1	1	2	1	3	0.18	4.43	24.17
37083	2007	MI	1	1	2	1	3	2.38	525.22	221.07
37084	2007	MI	1	1	2	1	5	3.96	736.48	186
37087	2007	MI	1	1	2	1	11	0.67	1546.41	2298.87
37088	2007	MI	1	1	2	1	1	0.06	16.69	272.85
37089	2007	MI	1	1	2	1	26	1.59	154.82	97.37
37090	2007	MI	1	1	2	1	13	0.8	54.08	68.03
37091	2007	MI	1	1	2	1	98	5.99	402.7	67.2
37092	2007	MI	1	1	2	1	42	2.57	178.41	69.46
37093	2007	MI	1	1	2	1	5	0.31	1142.56	3736.72
37059	2007	MI	1	2	2	1	23	12.03	7556.65	628.32
37069	2007	MI	1	2	2	1	24	12.55	10509.22	837.41
37071	2007	MI	1	2	2	1	110	57.52	31998.67	556.31
37075	2007	MI	1	2	2	1	12	6.28	2043.2	325.62
37076	2007	MI	1	2	2	1	3	1.57	1111.66	708.65
37077	2007	MI	1	2	2	1	1	0.52	47.37	90.6
37078	2007	MI	1	2	2	1	2	1.05	768.75	735.08
37079	2007	MI	1	2	2	1	1	0.52	294.98	564.12
37094	2007	MI	1	2	2	1	1	0.52	583.75	1116.37
37096	2007	MI	1	2	2	1	6	3.14	399.5	127.33
37097	2007	MI	1	2	2	1	24	12.55	4518.14	360.02
37098	2007	MI	1	2	2	1	2	1.05	2562.14	2449.92
37056	2007	MI	1	3	2	1	24	19.01	2455.98	129.22
37057	2007	MI	1	3	2	1	2	1.58	264.14	166.77
37070	2007	MI	1	3	2	1	2	1.58	145.96	92.15
37080	2007	MI	1	3	2	1	1	0.79	103.66	130.9
37072	2007	MI	1	4	2	1	11	8.71	99.84	11.46
37099	2007	MI	1	4	2	1	10	7.92	1517.24	191.59
37085	2007	MI	1	5	2	1	11	8.71	1547.16	177.61
37086	2007	MI	1	5	2	1	22	17.42	873.74	50.15
37058	2007	MI	1	6	2	1	10	7.92	33.17	4.19
37073	2007	MI	1	6	2	1	45	35.64	447.83	12.57
37074	2007	MI	1	6	2	1	72	57.02	238.84	4.19
37081	2007	MI	1	6	2	1	288	228.08	2866.1	12.57
37082	2007	MI	1	6	2	1	321	254.21	3194.5	12.57
37095	2007	MI	1	6	2	1	5	3.96	39.81	10.05
37100	2007	MI	1	6	2	1	47	37.22	155.91	4.19
37105	2007	MI	1	1	3	1	26	3.61	1966.91	544.75
37106	2007	MI	1	1	3	1	16	2.22	1431.32	644.18
37107	2007	MI	1	1	3	1	45	6.25	13010.39	2081.94
37113	2007	MI	1	1	3	1	1	0.14	4.09	29.45
37114	2007	MI	1	1	3	1	1	0.14	520.19	3745.9
37115	2007	MI	1	1	3	1	6	0.83	323.31	388.02
37116	2007	MI	1	1	3	1	8	1.11	219.57	196.55
37117	2007	MI	1	1	3	1	20	2.78	88.43	31.84
37131	2007	MI	1	1	3	1	7	3.5	528.4	150.8
37134	2007	MI	1	1	3	1	22	3.06	4822.03	1578.33
37135	2007	MI	1	1	3	1	40	5.56	468.04	84.26
37136	2007	MI	1	1	3	1	18	2.5	153.71	61.49
37137	2007	MI	1	1	3	1	101	14.03	1145.73	81.69
37138	2007	MI	1	1	3	1	3	0.42	21.01	50.44
37139	2007	MI	1	1	3	1	3	0.42	1378.45	3308.71
37104	2007	MI	1	2	3	1	19	1.49	1109.93	745.86
37118	2007	MI	1	2	3	1	4	0.31	287.91	918.98
37119	2007	MI	1	2	3	1	98	7.68	4300.69	560.31
37125	2007	MI	1	2	3	1	8	0.63	289.61	462.2
37126	2007	MI	1	2	3	1	6	0.47	306.17	651.53
37127	2007	MI	1	2	3	1	1	0.08	8.97	114.46
37141	2007	MI	1	2	3	1	5	0.39	78.06	199.33
37142	2007	MI	1	2	3	1	2	0.16	48.87	311.96
37143	2007	MI	1	2	3	1	1	0.08	109.65	1400
37144	2007	MI	1	2	3	1	2	0.16	668.32	4266.5
37145	2007	MI	1	2	3	1	1	0.08	203.88	2603.04
37101	2007	MI	1	3	3	1	47	23.53	3769.13	160.2
37102	2007	MI	1	3	3	1	5	2.5	375.75	150.13
37108	2007	MI	1	3	3	1	1	0.5	167.75	335.1
37110	2007	MI	1	3	3	1	1	0.5	1834.73	3665.2
37124	2007	MI	1	3	3	1	1	0.5	10.48	20.94
37128	2007	MI	1	3	3	1	2	1	226.46	226.2
37146	2007	MI	1	3	3	1	2	1	105.59	105.47
37109	2007	MI	1	4	3	1	2	1	91.74	91.63
37121	2007	MI	1	4	3	1	14	7.01	66.13	9.44
37122	2007	MI	1	4	3	1	1	0.5	16.77	33.51
37147	2007	MI	1	4	3	1	13	6.51	820.58	126.1
37111	2007	MI	1	5	3	1	2	1	1962.63	1960.36
37112	2007	MI	1	5	3	1	1	0.5	1541.17	3078.77
37132	2007	MI	1	5	3	1	14	7.01	1132.64	161.62
37133	2007	MI	1	5	3	1	7	3.5	177.54	50.67
37103	2007	MI	1	6	3	1	96	48.06	201.3	4.19
37123	2007	MI	1	6	3	1	43	21.53	90.16	4.19
37129	2007	MI	1	6	3	1	165	82.6	1037.93	12.57
37130	2007	MI	1	6	3	1	218	109.13	1371.33	12.57
37140	2007	MI	1	6	3	1	5	2.5	17.82	7.12
37148	2007	MI	1	6	3	1	5	2.5	10.48	4.19
37120	2007	MI	1	7	3	1	2	1	509.53	508.94
37153	2007	MI	1	1	4	1	8	0.54	360.24	673.48
37154	2007	MI	1	1	4	1	19	1.27	964.16	758.97
37155	2007	MI	1	1	4	1	51	3.41	8480.78	2487.09
37158	2007	MI	1	1	4	1	4	0.27	2.8	10.47
37159	2007	MI	1	1	4	1	1	0.07	19.06	285.1
37160	2007	MI	1	1	4	1	12	0.8	247.1	307.98
37161	2007	MI	1	1	4	1	11	0.74	200.3	272.34
37162	2007	MI	1	1	4	1	1	0.07	5.39	80.59
37178	2007	MI	1	1	4	1	5	2.86	145.57	50.89
37179	2007	MI	1	1	4	1	11	6.29	627.68	99.75
37182	2007	MI	1	1	4	1	8	0.54	1160.26	2333.12
37183	2007	MI	1	1	4	1	9	0.6	51.64	85.82
37184	2007	MI	1	1	4	1	7	0.47	26.32	56.24
37185	2007	MI	1	1	4	1	10	0.67	42.65	63.79
37186	2007	MI	1	1	4	1	7	0.47	25.22	53.89
37187	2007	MI	1	1	4	1	6	0.4	1021.18	2545.52
37152	2007	MI	1	2	4	1	24	3.65	2677.12	733.67
37163	2007	MI	1	2	4	1	25	3.8	3265.38	859.08
37164	2007	MI	1	2	4	1	257	39.07	20366.36	521.22
37165	2007	MI	1	2	4	1	2	0.3	75.35	247.8
37166	2007	MI	1	2	4	1	2	0.3	34.81	114.49
37168	2007	MI	1	2	4	1	1	0.15	711.55	4680
37171	2007	MI	1	2	4	1	5	0.76	306.69	403.44
37172	2007	MI	1	2	4	1	7	1.06	667.96	627.61
37173	2007	MI	1	2	4	1	1	0.15	11.72	77.09
37174	2007	MI	1	2	4	1	3	0.46	277.94	609.37
37175	2007	MI	1	2	4	1	1	0.15	72.99	480.1
37189	2007	MI	1	2	4	1	7	1.06	145.32	136.54
37190	2007	MI	1	2	4	1	18	2.74	610.96	223.24
37191	2007	MI	1	2	4	1	15	2.28	929.13	407.41
37192	2007	MI	1	2	4	1	5	0.76	3031	3987.09
37193	2007	MI	1	2	4	1	6	0.91	3303.49	3621.29
37194	2007	MI	1	2	4	1	1	0.15	291.07	1914.43
37149	2007	MI	1	3	4	1	32	18.31	2856.04	156.02
37150	2007	MI	1	3	4	1	6	3.43	507.9	147.98
37167	2007	MI	1	3	4	1	16	9.15	2453.64	268.08
37195	2007	MI	1	3	4	1	3	1.72	127.11	74.07
37169	2007	MI	1	4	4	1	3	1.72	11.98	6.98
37196	2007	MI	1	4	4	1	12	6.86	1138.97	165.92
37156	2007	MI	1	5	4	1	1	0.57	1035.13	1809.56
37157	2007	MI	1	5	4	1	2	1.14	4043.48	3534.3
37180	2007	MI	1	5	4	1	14	8.01	1332.07	166.33
37181	2007	MI	1	5	4	1	11	6.29	398.74	63.37
37151	2007	MI	1	6	4	1	180	102.97	431.3	4.19
37170	2007	MI	1	6	4	1	86	49.2	206.07	4.19
37176	2007	MI	1	6	4	1	140	80.09	1006.38	12.57
37177	2007	MI	1	6	4	1	388	221.95	2789.1	12.57
37188	2007	MI	1	6	4	1	3	1.72	11.98	6.98
37197	2007	MI	1	6	4	1	27	15.45	64.7	4.19
37202	2007	MI	1	1	5	1	4	1.17	514.33	438.25
37203	2007	MI	1	1	5	1	13	3.81	2347.64	615.51
37204	2007	MI	1	1	5	1	32	9.39	16967.04	1807.19
37209	2007	MI	1	1	5	1	5	1.47	15.98	10.9
37210	2007	MI	1	1	5	1	1	0.29	22.12	75.4
37211	2007	MI	1	1	5	1	1	0.29	56	190.85
37212	2007	MI	1	1	5	1	5	1.47	451.8	307.98
37213	2007	MI	1	1	5	1	8	2.35	453	193
37227	2007	MI	1	1	5	1	11	8.81	2040.56	231.62
37230	2007	MI	1	1	5	1	3	0.88	2122.97	2411.96
37231	2007	MI	1	1	5	1	4	1.17	83.09	70.8
37232	2007	MI	1	1	5	1	1	0.29	3783.66	12896.1
37233	2007	MI	1	1	5	1	3	0.88	47.48	53.94
37234	2007	MI	1	1	5	1	9	2.64	197.16	74.67
37235	2007	MI	1	1	5	1	4	1.17	87.13	74.24
37236	2007	MI	1	1	5	1	8	2.35	8386.82	3573.17
37201	2007	MI	1	2	5	1	31	8.33	6582.15	789.82
37214	2007	MI	1	2	5	1	40	10.75	9969.12	927.08
37216	2007	MI	1	2	5	1	181	48.66	29704.41	610.47
37221	2007	MI	1	2	5	1	1	0.27	92.91	345.63
37222	2007	MI	1	2	5	1	4	1.08	584.57	543.62
37223	2007	MI	1	2	5	1	1	0.27	197.61	735.08
37224	2007	MI	1	2	5	1	6	1.61	6485.03	4020.52
37238	2007	MI	1	2	5	1	9	2.42	891.67	368.54
37239	2007	MI	1	2	5	1	7	1.88	11065.71	5880.35
37240	2007	MI	1	2	5	1	5	1.34	4050.55	3013.46
37241	2007	MI	1	2	5	1	1	0.27	420.13	1562.8
37198	2007	MI	1	3	5	1	18	14.42	1894.36	131.41
37199	2007	MI	1	3	5	1	1	0.8	201.29	251.33
37205	2007	MI	1	3	5	1	1	0.8	268.38	335.1
37206	2007	MI	1	3	5	1	4	3.2	107.35	33.51
37215	2007	MI	1	3	5	1	4	3.2	415.99	129.85
37220	2007	MI	1	3	5	1	1	0.8	150.96	188.5
37218	2007	MI	1	4	5	1	21	16.82	144.92	8.62
37242	2007	MI	1	4	5	1	16	12.81	2224.74	173.61
37207	2007	MI	1	5	5	1	1	0.8	1328.49	1658.76
37208	2007	MI	1	5	5	1	2	1.6	3543.47	2212.21
37228	2007	MI	1	5	5	1	29	23.23	2863.62	123.29
37229	2007	MI	1	5	5	1	16	12.81	578.7	45.16
37200	2007	MI	1	6	5	1	90	72.08	301.93	4.19
37219	2007	MI	1	6	5	1	34	27.23	114.06	4.19
37225	2007	MI	1	6	5	1	91	72.88	915.85	12.57
37226	2007	MI	1	6	5	1	131	104.92	1318.42	12.57
37237	2007	MI	1	6	5	1	3	2.4	15.1	6.28
37243	2007	MI	1	6	5	1	19	15.22	63.74	4.19
37217	2007	MI	1	7	5	1	1	0.8	845.4	1055.58
37247	2007	MI	1	1	6	1	3	0.36	274.31	753.98
37248	2007	MI	1	1	6	1	10	1.21	765.39	631.15
37249	2007	MI	1	1	6	1	5	0.61	1021.03	1683.9
37254	2007	MI	1	1	6	1	64	7.76	84.56	10.9
37255	2007	MI	1	1	6	1	2	0.24	16.07	66.27
37256	2007	MI	1	1	6	1	2	0.24	28	115.45
37257	2007	MI	1	1	6	1	1	0.12	412.03	3397.64
37258	2007	MI	1	1	6	1	8	0.97	274.9	283.35
37259	2007	MI	1	1	6	1	6	0.73	120.34	165.39
37260	2007	MI	1	1	6	1	1	0.12	43.55	359.08
37275	2007	MI	1	1	6	1	8	6.41	760.44	118.69
37276	2007	MI	1	1	6	1	2	1.6	739.73	461.82
37279	2007	MI	1	1	6	1	11	1.33	2227.49	1669.82
37280	2007	MI	1	1	6	1	2	0.24	183.82	757.91
37281	2007	MI	1	1	6	1	61	7.4	722.15	97.62
37282	2007	MI	1	1	6	1	52	6.31	423.34	67.13
37283	2007	MI	1	1	6	1	22	2.67	185.46	69.51
37284	2007	MI	1	1	6	1	65	7.88	431.02	54.68
37285	2007	MI	1	1	6	1	2	0.24	850.81	3507.91
37246	2007	MI	1	2	6	1	15	3.42	2651.4	776.15
37261	2007	MI	1	2	6	1	12	2.73	2121.28	776.2
37262	2007	MI	1	2	6	1	113	25.74	12996.57	505.02
37263	2007	MI	1	2	6	1	2	0.46	37.25	81.78
37264	2007	MI	1	2	6	1	1	0.23	34	149.29
37268	2007	MI	1	2	6	1	2	0.46	121.62	267.01
37269	2007	MI	1	2	6	1	3	0.68	175.1	256.28
37270	2007	MI	1	2	6	1	1	0.23	11.97	52.56
37271	2007	MI	1	2	6	1	3	0.68	436.71	639.19
37272	2007	MI	1	2	6	1	1	0.23	985.44	4327.02
37287	2007	MI	1	2	6	1	4	0.91	129.29	141.93
37288	2007	MI	1	2	6	1	1	0.23	15.34	67.34
37289	2007	MI	1	2	6	1	47	10.7	3341.65	312.19
37290	2007	MI	1	2	6	1	3	0.68	3117.75	4563.3
37291	2007	MI	1	2	6	1	3	0.68	1813.33	2654.08
37244	2007	MI	1	3	6	1	3	2.4	320.8	133.52
37245	2007	MI	1	3	6	1	1	0.8	113.22	141.37
37251	2007	MI	1	3	6	1	1	0.8	1878.67	2345.73
37265	2007	MI	1	3	6	1	4	3.2	858.82	268.08
37292	2007	MI	1	3	6	1	1	0.8	102.51	128
37250	2007	MI	1	4	6	1	3	2.4	697.79	290.42
37266	2007	MI	1	4	6	1	14	11.21	130.96	11.68
37293	2007	MI	1	4	6	1	14	11.21	2084.2	185.88
37252	2007	MI	1	5	6	1	2	1.6	4931.51	3078.77
37253	2007	MI	1	5	6	1	1	0.8	1972.6	2463.01
37277	2007	MI	1	5	6	1	27	21.62	6258.78	289.44
37278	2007	MI	1	5	6	1	36	28.83	1826.67	63.36
37267	2007	MI	1	6	6	1	12	9.61	40.26	4.19
37273	2007	MI	1	6	6	1	14	11.21	140.9	12.57
37274	2007	MI	1	6	6	1	287	229.86	2888.45	12.57
37286	2007	MI	1	6	6	1	2	1.6	11.74	7.33
37294	2007	MI	1	6	6	1	19	15.22	63.74	4.19
37298	2007	MI	1	1	7	1	4	1.02	2463.15	2410
37302	2007	MI	1	1	7	1	3	0.77	8.03	10.47
37303	2007	MI	1	1	7	1	2	0.51	29.5	57.73
37304	2007	MI	1	1	7	1	2	0.51	132.74	259.75
37305	2007	MI	1	1	7	1	2	0.51	127.09	248.69
37316	2007	MI	1	1	7	1	3	0.77	2314.49	3019.4
37317	2007	MI	1	1	7	1	202	51.61	3720.05	72.07
37318	2007	MI	1	1	7	1	3	0.77	66.89	87.26
37319	2007	MI	1	1	7	1	244	62.35	4074.21	65.35
37297	2007	MI	1	2	7	1	5	5.64	4883.06	865.92
37306	2007	MI	1	2	7	1	3	3.38	3074.24	908.6
37307	2007	MI	1	2	7	1	26	29.32	16995.97	579.6
37308	2007	MI	1	2	7	1	2	2.26	385.49	170.9
37310	2007	MI	1	2	7	1	1	1.13	351.47	311.63
37311	2007	MI	1	2	7	1	1	1.13	383.19	339.76
37320	2007	MI	1	2	7	1	2	2.26	469.29	208.05
37321	2007	MI	1	2	7	1	9	10.15	2653.43	261.41
37322	2007	MI	1	2	7	1	6	6.77	2705.95	399.87
37323	2007	MI	1	2	7	1	2	2.26	6583.94	2918.85
37324	2007	MI	1	2	7	1	1	1.13	2291.35	2031.64
37295	2007	MI	1	3	7	1	20	26.7	1353.26	50.68
37296	2007	MI	1	3	7	1	3	4.01	478.11	119.38
37325	2007	MI	1	3	7	1	1	1.34	72.09	54
37299	2007	MI	1	4	7	1	1	1.34	447.36	335.1
37309	2007	MI	1	4	7	1	31	41.39	621.95	15.03
37326	2007	MI	1	4	7	1	16	21.36	3439.29	161.02
37300	2007	MI	1	5	7	1	3	4.01	7850.43	1960.18
37301	2007	MI	1	5	7	1	2	2.67	8492.82	3180.87
37314	2007	MI	1	5	7	1	22	29.37	7174.98	244.3
37315	2007	MI	1	5	7	1	40	53.4	4754.59	89.04
37312	2007	MI	1	6	7	1	13	17.36	218.09	12.57
37313	2007	MI	1	6	7	1	105	140.17	1761.47	12.57
37327	2007	MI	1	8	7	1	4	5.34	279.6	52.36
37332	2007	MI	1	1	8	1	2	1.16	670.25	577.27
37333	2007	MI	1	1	8	1	22	12.77	8922.58	698.62
37334	2007	MI	1	1	8	1	45	26.12	58507.95	2239.62
37337	2007	MI	1	1	8	1	14	8.13	88.55	10.9
37338	2007	MI	1	1	8	1	2	1.16	30.86	26.58
37339	2007	MI	1	1	8	1	1	0.58	165.51	285.1
37340	2007	MI	1	1	8	1	6	3.48	938.57	269.46
37341	2007	MI	1	1	8	1	5	2.9	655.41	254.61
37342	2007	MI	1	1	8	1	8	4.64	126.61	27.26
37356	2007	MI	1	1	8	1	6	6.01	760.94	126.71
37359	2007	MI	1	1	8	1	12	6.97	14224.23	2041.82
37360	2007	MI	1	1	8	1	25	14.51	1547.69	106.64
37361	2007	MI	1	1	8	1	18	10.45	777.26	74.38
37362	2007	MI	1	1	8	1	10	5.81	383.46	66.05
37363	2007	MI	1	1	8	1	25	14.51	904.84	62.35
37364	2007	MI	1	1	8	1	5	2.9	10032.05	3456.13
37331	2007	MI	1	2	8	1	23	6.94	5414.45	780.57
37343	2007	MI	1	2	8	1	36	10.86	9416.02	867.26
37345	2007	MI	1	2	8	1	120	36.19	18820.38	520.04
37350	2007	MI	1	2	8	1	4	1.21	508.37	421.41
37351	2007	MI	1	2	8	1	8	2.41	1124.66	466.14
37352	2007	MI	1	2	8	1	1	0.3	21.14	70.08
37353	2007	MI	1	2	8	1	3	0.91	576.39	637.06
37354	2007	MI	1	2	8	1	2	0.6	3262.45	5408.78
37366	2007	MI	1	2	8	1	1	0.3	37.98	125.94
37367	2007	MI	1	2	8	1	24	7.24	2295.28	317.11
37368	2007	MI	1	2	8	1	1	0.3	1812.61	6010.2
37369	2007	MI	1	2	8	1	5	1.51	4109.23	2725.06
37370	2007	MI	1	2	8	1	1	0.3	377.06	1250.24
37328	2007	MI	1	3	8	1	16	16.02	2255.67	140.85
37329	2007	MI	1	3	8	1	1	1	51.38	51.33
37344	2007	MI	1	3	8	1	4	4	402.5	100.53
37346	2007	MI	1	3	8	1	8	8.01	2146.65	268.08
37348	2007	MI	1	4	8	1	8	8.01	61.53	7.68
37371	2007	MI	1	4	8	1	11	11.01	1834.01	166.57
37335	2007	MI	1	5	8	1	1	1	2414.98	2412.75
37336	2007	MI	1	5	8	1	3	3	4173.98	1390.04
37357	2007	MI	1	5	8	1	19	19.02	2878.24	151.35
37358	2007	MI	1	5	8	1	24	24.02	1171.77	48.78
37330	2007	MI	1	6	8	1	48	48.04	201.25	4.19
37349	2007	MI	1	6	8	1	20	20.02	83.85	4.19
37355	2007	MI	1	6	8	1	62	62.06	779.84	12.57
37365	2007	MI	1	6	8	1	4	4	41.93	10.47
37372	2007	MI	1	6	8	1	27	27.03	113.2	4.19
37347	2007	MI	1	7	8	1	1	1	733.72	733.04
37378	2007	MI	1	1	9	1	5	1.03	634.86	615.51
37379	2007	MI	1	1	9	1	6	1.24	3305.19	2670.36
37382	2007	MI	1	1	9	1	12	2.48	25.41	10.26
37383	2007	MI	1	1	9	1	1	0.21	10.27	49.77
37384	2007	MI	1	1	9	1	2	0.41	95.59	231.69
37392	2007	MI	1	1	9	1	2	2.67	704.59	263.89
37395	2007	MI	1	1	9	1	2	0.41	1303.01	3158.21
37396	2007	MI	1	1	9	1	1	0.21	81.6	395.54
37397	2007	MI	1	1	9	1	171	35.28	2601.03	73.73
37398	2007	MI	1	1	9	1	253	52.19	3625.44	69.46
37373	2007	MI	1	2	9	1	2	0.4	60.97	153.63
37377	2007	MI	1	2	9	1	14	2.78	2134.46	768.29
37385	2007	MI	1	2	9	1	5	0.99	849.6	856.26
37386	2007	MI	1	2	9	1	35	6.95	3436.21	494.74
37388	2007	MI	1	2	9	1	2	0.4	94.1	237.09
37389	2007	MI	1	2	9	1	1	0.2	954.08	4807.8
37399	2007	MI	1	2	9	1	2	0.4	55.78	140.55
37400	2007	MI	1	2	9	1	4	0.79	200.68	252.82
37401	2007	MI	1	2	9	1	1	0.2	18.78	94.64
37402	2007	MI	1	2	9	1	6	1.19	559.97	470.3
37403	2007	MI	1	2	9	1	1	0.2	1030.72	5194
37404	2007	MI	1	2	9	1	1	0.2	493.77	2488.2
37374	2007	MI	1	3	9	1	15	20.03	1442.99	72.06
37375	2007	MI	1	3	9	1	3	4.01	704.8	175.98
37380	2007	MI	1	4	9	1	1	1.34	201.31	150.8
37387	2007	MI	1	4	9	1	29	38.72	535.38	13.83
37405	2007	MI	1	4	9	1	10	13.35	1534.44	114.94
37381	2007	MI	1	5	9	1	2	2.67	8220.21	3078.77
37393	2007	MI	1	5	9	1	16	21.36	5027.87	235.39
37394	2007	MI	1	5	9	1	30	40.05	2617.28	65.35
37376	2007	MI	1	6	9	1	160	213.6	894.72	4.19
37390	2007	MI	1	6	9	1	102	136.17	1711.15	12.57
37391	2007	MI	1	6	9	1	291	388.48	4881.8	12.57
37406	2007	MI	1	8	9	1	29	38.72	3091.32	79.85
37411	2007	MI	1	1	10	1	2	0.04	24.46	577.27
37412	2007	MI	1	1	10	1	16	0.34	231.73	683.61
37413	2007	MI	1	1	10	1	2	0.04	53.25	1256.64
37414	2007	MI	1	1	10	1	10	0.21	474.35	2238.94
37418	2007	MI	1	1	10	1	64	1.36	14.34	10.58
37419	2007	MI	1	1	10	1	1	0.02	0.62	29.45
37420	2007	MI	1	1	10	1	1	0.02	3.19	150.8
37421	2007	MI	1	1	10	1	1	0.02	112.47	5308.81
37422	2007	MI	1	1	10	1	12	0.25	78.3	307.98
37423	2007	MI	1	1	10	1	8	0.17	19.64	115.87
37424	2007	MI	1	1	10	1	1	0.02	6.39	301.73
37425	2007	MI	1	1	10	1	2	0.04	0.98	23.13
37435	2007	MI	1	1	10	1	1	0.57	28.75	50.27
37436	2007	MI	1	1	10	1	3	1.72	121.3	70.69
37439	2007	MI	1	1	10	1	21	0.45	1034.94	3311.98
37440	2007	MI	1	1	10	1	32	0.68	57.12	84.26
37441	2007	MI	1	1	10	1	66	1.4	81.35	58.17
37442	2007	MI	1	1	10	1	58	1.23	75.66	61.58
37443	2007	MI	1	1	10	1	19	0.4	125.91	312.78
37444	2007	MI	1	1	10	1	8	0.17	605.62	3573.17
37407	2007	MI	1	2	10	1	1	0.02	0.86	35.18
37410	2007	MI	1	2	10	1	9	0.22	140.67	639.38
37427	2007	MI	1	2	10	1	46	1.13	418.32	372
37430	2007	MI	1	2	10	1	1	0.02	1.39	56.66
37431	2007	MI	1	2	10	1	2	0.05	25.2	515.47
37432	2007	MI	1	2	10	1	2	0.05	4	81.82
37446	2007	MI	1	2	10	1	10	0.24	32.3	132.12
37447	2007	MI	1	2	10	1	1	0.02	1.53	62.73
37448	2007	MI	1	2	10	1	43	1.05	315.25	299.91
37449	2007	MI	1	2	10	1	1	0.02	114.27	4674.6
37450	2007	MI	1	2	10	1	1	0.02	59.89	2449.92
37408	2007	MI	1	3	10	1	9	5.15	724.75	140.77
37426	2007	MI	1	3	10	1	3	1.72	215.65	125.66
37428	2007	MI	1	4	10	1	6	3.43	74.4	21.68
37451	2007	MI	1	4	10	1	12	6.86	1185.99	172.77
37415	2007	MI	1	5	10	1	3	1.72	3363.86	1960.18
37416	2007	MI	1	5	10	1	1	0.57	1995.98	3489.27
